API,Well_Name,Well_Number,Operator_Number,Operator_Name,Daily_Report_Date_Start,Daily_Report_Date_End,Report_Date,Volume_BPD,Pressure_PSI,Latitude,Longitude,DirArea,Directive_Status
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-11,15614,240,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-12,15708,240,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-13,14458,240,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-14,14542,240,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-15,15001,240,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-16,14443,150,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-18,13289,140,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-19,12918,140,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-20,14980,240,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-21,15377,140,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-23,14042,140,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-24,14644,140,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-25,14211,140,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-26,16425,140,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-27,12463,150,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-28,13993,155,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-29,14532,155,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-30,14367,155,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-31,14434,155,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-04-01,13789,235,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-04-02,15178,235,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-04-03,9832,70,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-04-04,16640,225,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-04-05,16917,220,36.8403,-98.3611,OWRA,NOT IN GRANITE
